id;title;imdbID;rtAllCriticsRating;rtAllCriticsNumReviews;rtAllCriticsNumFresh;rtAllCriticsNumRotten;rtAllCriticsScore;rtTopCriticsRating;rtTopCriticsNumReviews;rtTopCriticsNumFresh;rtTopCriticsNumRotten;rtTopCriticsScore;rtAudienceRating;rtAudienceNumRatings;rtAudienceScore
2722;Deep Blue Sea;149261;5.7;89;51;38;57;5.8;22;14;8;63;2.8;26286;44
2723;Mystery Men;132347;5.7;100;60;40;60;5.7;28;17;11;60;2.8;14333;52
2724;Runaway Bride;163187;5.3;82;37;45;45;4.8;27;10;17;37;3;48629;57
2725;Twin Falls Idaho;162830;7.3;44;34;10;77;7.6;7;6;1;85;3.8;751;82
2726;The Killing;49406;8.3;26;25;1;96;0;3;3;0;100;4;5595;90
2727;Killer's Kiss;48254;6.8;17;14;3;82;0;3;3;0;100;3.3;2112;56
2728;Spartacus;54331;8.1;45;43;2;95;0;4;3;1;75;3.7;25019;79
2729;Lolita;56193;8;38;37;1;97;0;2;2;0;100;3.7;11593;80
2730;Barry Lyndon;72684;7.8;49;46;3;93;7.5;7;7;0;100;4.1;12262;90
2731;Les quatre cents coups;53198;9.3;48;48;0;100;8.8;8;8;0;100;4.4;9787;95
2732;Jules et Jim;55032;8.9;31;30;1;96;0;4;4;0;100;4.2;6006;89
2733;Vibes;96378;2.8;7;0;7;0;0;1;0;1;0;3.3;404;59
2734;The Mosquito Coast;91557;6.4;20;15;5;75;0;1;0;1;0;3.2;3391;55
2735;The Golden Child;91129;3.9;19;5;14;26;0;2;1;1;50;2.9;9053;49
2736;Brighton Beach Memoirs;90774;5.7;9;6;3;66;0;1;0;1;0;3.4;596;69
2737;The Assassination of Jesse James by the Coward Robert Ford;443680;7.1;162;121;41;74;6.6;36;22;14;61;3.7;57534;73
2738;Crimes of the Heart;90886;7.6;14;14;0;100;0;1;1;0;100;3.3;602;53
2739;The Color Purple;88939;6.7;24;21;3;87;0;1;1;0;100;3.9;30970;93
2741;No Mercy;91637;3.4;13;2;11;15;4.4;5;2;3;40;2.8;740;32
2742;Tenue de soirée;92068;0;4;3;1;75;0;1;1;0;100;3.8;345;75
2743;Native Son;91613;6;9;5;4;55;0;4;1;3;25;3.4;71;61
2744;Otello;256244;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2745;The Mission;91530;6.4;16;11;5;68;0;2;1;1;50;3.8;11307;83
2746;The Little Shop of Horrors;54033;6.2;11;10;1;90;0;0;0;0;0;0;0;0
2747;The Little Shop of Horrors;54033;6.2;11;10;1;90;0;0;0;0;0;0;0;0
2748;Allan Quatermain and the Lost City of Gold;92534;0;3;2;1;66;0;0;0;0;0;0;0;0
2749;The Morning After;91554;5.8;15;11;4;73;0;1;1;0;100;2.9;557;33
2750;Radio Days;93818;7.9;21;20;1;95;0;1;1;0;100;3.8;3253;82
2751;From the Hip;93051;4.7;6;1;5;16;0;1;0;1;0;3.2;411;59
2752;Outrageous Fortune;93690;5;20;10;10;50;5;5;2;3;40;3;1206;54
2753;The Bedroom Window;92627;6;14;12;2;85;0;0;0;0;0;0;0;0
2754;Deadtime Stories;92850;0;3;0;3;0;0;0;0;0;0;0;0;0
2755;Light of Day;93415;5.2;12;7;5;58;0;1;1;0;100;3.1;311;41
2756;Wanted: Dead or Alive;94293;4.1;8;2;6;25;0;1;0;1;0;2.9;934;43
2757;Frances;83967;7.6;15;14;1;93;0;1;1;0;100;3.8;713;78
2758;Plenty;89816;7.3;7;5;2;71;0;1;1;0;100;3.4;613;54
2759;Dick;144168;6.3;70;49;21;70;6.6;26;19;7;73;2.7;3840;45
2761;The Iron Giant;129167;8;111;108;3;97;7.7;31;30;1;96;3.3;17836;72
2762;The Sixth Sense;167404;7.4;126;107;19;84;6.8;28;22;6;78;3.8;100968;87
2763;The Thomas Crown Affair;155267;6.4;88;59;29;67;6.6;25;18;7;72;3.3;15699;71
2764;The Thomas Crown Affair;155267;6.4;88;59;29;67;6.6;25;18;7;72;3.3;15699;71
2765;The Acid House;122515;5.8;19;9;10;47;0;2;1;1;50;3.5;2715;68
2766;The Adventures of Sebastian Cole;168449;5.7;22;9;13;40;6.6;5;4;1;80;0;0;0
2767;Illuminata;120709;5.6;23;9;14;39;5.5;7;3;4;42;3.4;320;64
2768;Stiff Upper Lips;120210;4.8;7;2;5;28;0;0;0;0;0;0;0;0
2769;The Whole Ten Yards;327247;2.8;116;5;111;4;3.3;31;2;29;6;3;11437;51
2770;Bowfinger;131325;7.1;107;85;22;79;7.3;26;23;3;88;2.8;8721;49
2771;Brokedown Palace;120620;4.7;34;10;24;29;6;5;3;2;60;3.2;4980;66
2772;Detroit Rock City;165710;5.4;36;17;19;47;4.6;5;1;4;20;3.5;9815;80
2773;Alice et Martin;176422;6.3;42;26;16;61;6.6;13;10;3;76;3.4;246;51
2774;Better Than Chocolate;168987;5.8;21;8;13;38;0;4;1;3;25;3.8;3884;78
2775;Gegen die Wand;347048;0;0;0;0;0;0;0;0;0;0;0;0;0
2776;Marcello Mastroianni: mi ricordo, sì, io mi ricordo;119614;7.8;7;7;0;100;0;1;1;0;100;3;175;48
2777;Cobra;90859;2.5;14;1;13;7;0;3;1;2;33;2.7;5821;43
2778;Never Talk to Strangers;113965;3.6;20;3;17;15;5;5;2;3;40;2.8;1191;41
2779;Heaven Can Wait;35979;7.8;9;8;1;88;0;0;0;0;0;0;0;0
2780;The Raven;57449;6.4;9;8;1;88;0;0;0;0;0;0;0;0
2781;The Tingler;53363;5.9;14;10;4;71;0;0;0;0;0;0;0;0
2782;Pit and the Pendulum;55304;6.4;14;11;3;78;0;0;0;0;0;0;0;0
2783;The Tomb of Ligeia;59821;6.4;6;5;1;83;0;0;0;0;0;0;0;0
2784;The Masque of the Red Death;58333;5.9;12;7;5;58;0;0;0;0;0;0;0;0
2785;Tales of Terror;56552;6.1;10;6;4;60;0;0;0;0;0;0;0;0
2786;Haunted Honeymoon;91178;3.5;8;2;6;25;0;0;0;0;0;0;0;0
2787;Cat's Eye;88889;5.5;23;15;8;65;0;3;2;1;66;3.1;5931;52
2788;And Now for Something Completely Different;66765;6.9;19;17;2;89;0;2;1;1;50;3.8;16003;85
2789;Damien: Omen II;77394;0;0;0;0;0;0;0;0;0;0;0;0;0
2790;Earth: Final Conflict;123816;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2791;Airplane!;80339;8.3;49;48;1;97;7.8;5;5;0;100;3.6;31137;85
2792;Airplane II: The Sequel;83530;5.2;18;7;11;38;0;1;0;1;0;2.9;10524;52
2793;An American Werewolf in Paris;118604;3.7;25;2;23;8;4.5;6;1;5;16;2.8;10235;38
2794;European Vacation;89670;4.8;20;8;12;40;0;0;0;0;0;0;0;0
2795;Vacation;85995;7.3;34;32;2;94;0;3;3;0;100;3.5;11330;80
2796;Funny Farm;95188;5.2;17;11;6;64;0;1;1;0;100;2.9;2927;51
2797;Big;94737;7.9;52;50;2;96;6.8;5;4;1;80;3.4;33658;73
2798;Problem Child 2;102719;2.6;12;2;10;16;0;1;0;1;0;0;0;0
2799;Problem Child 2;102719;2.6;12;2;10;16;0;1;0;1;0;0;0;0
2800;Little Nemo: Adventures in Slumberland;104740;0;0;0;0;0;0;0;0;0;0;0;0;0
2801;Oscar and Lucinda;119843;6.6;31;20;11;64;7.8;7;6;1;85;0;0;0
2802;Tequila Sunrise;96244;5.1;18;9;9;50;0;3;0;3;0;2.9;3959;44
2803;The Pelican Brief;107798;5.5;47;25;22;53;5.5;7;3;4;42;3.2;12632;62
2804;A Christmas Story;85334;8.3;43;38;5;88;0;3;2;1;66;3.7;23109;82
2805;Mickey Blue Eyes;130121;5.4;72;32;40;44;5.1;22;8;14;36;2.7;6320;39
2806;Teaching Mrs. Tingle;133046;4;68;13;55;19;4;24;5;19;20;2.5;4339;34
2807;Universal Soldier: The Return;176269;2.8;51;3;48;5;3.6;17;3;14;17;2.4;4533;35
2808;Universal Soldier;105698;4.2;23;5;18;21;4.3;7;2;5;28;2.8;9415;48
2809;Love Stinks;188863;3.5;47;9;38;19;3.8;16;3;13;18;3.2;1225;66
2810;Perfect Blue;156887;6.4;22;14;8;63;0;2;1;1;50;3.9;4350;86
2811;With Friends Like These...;119692;5.4;14;7;7;50;4.7;5;2;3;40;2.6;46;33
2812;In Too Deep;160401;4.9;55;20;35;36;5.8;20;10;10;50;3.6;1315;76
2813;The Source;181833;0;0;0;0;0;0;0;0;0;0;0;0;0
2814;The Vampire Bat;24727;0;4;2;2;50;0;0;0;0;0;0;0;0
2815;Iron Eagle;91278;3.6;5;2;3;40;0;0;0;0;0;0;0;0
2816;Iron Eagle II;95382;0;1;0;1;0;0;0;0;0;0;0;0;0
2817;Aces: Iron Eagle III;103617;2.2;6;0;6;0;0;1;0;1;0;2.5;1084;27
2818;Iron Eagle IV;113438;0;0;0;0;0;0;0;0;0;0;0;0;0
2819;Three Days of the Condor;73802;7;37;32;5;86;0;4;2;2;50;3.8;3200;83
2820;Hamlet;116477;8.2;54;51;3;94;7.2;14;11;3;78;3.8;5816;86
2821;Male and Female;10418;0;0;0;0;0;0;0;0;0;0;0;0;0
2822;Medicine Man;104839;3.9;18;4;14;22;0;2;0;2;0;2.9;3697;51
2823;Die Spinnen, 1. Teil - Der Goldene See;10726;0;3;3;0;100;0;0;0;0;0;0;0;0
2824;On the Ropes;181733;7.6;13;12;1;92;0;3;3;0;100;3.3;155;63
2825;Ring Around the Rosie;331488;0;3;0;3;0;0;0;0;0;0;0;0;0
2826;The 13th Warrior;120657;4.6;86;28;58;32;4.9;18;7;11;38;3.2;24204;66
2827;The Astronaut's Wife;138304;4.2;57;9;48;15;4.6;18;5;13;27;2.8;11206;42
2829;The Muse;164108;5.9;76;39;37;51;5.6;23;10;13;43;2.6;1169;29
2830;Bure baruta;169145;7.8;13;11;2;84;0;4;4;0;100;3.8;311;78
2831;A Dog of Flanders;160216;4.5;23;4;19;17;0;3;0;3;0;3.7;259;76
2832;The Lost Son;144286;0;3;2;1;66;0;0;0;0;0;0;0;0
2833;Lucie Aubrac;119586;7;22;17;5;77;7;7;5;2;71;3.6;169;67
2834;Martha - Meet Frank, Daniel and Laurence;120747;5.1;8;3;5;37;0;1;0;1;0;3.3;1423;59
2835;Chill Factor;163579;3.3;72;5;67;6;3;23;0;23;0;2.7;2079;36
2836;Outside Providence;125971;5.6;74;37;37;50;6.2;24;15;9;62;3.2;1355;60
2837;Bedrooms and Hallways;126810;6.3;13;9;4;69;0;1;1;0;100;3.6;615;70
2839;West Beyrouth (À l'abri les enfants);157183;7.2;15;14;1;93;0;1;1;0;100;4.3;382;92
2840;Stigmata;145531;4;88;19;69;21;3.2;24;3;21;12;3.1;12281;65
2841;Stir of Echoes;164181;6.4;103;69;34;66;6.4;25;18;7;72;3.4;14833;69
2842;Best Laid Plans;133412;5.8;20;9;11;45;0;4;2;2;50;3.1;1229;43
2843;Crna macka, beli macor;118843;6.9;18;16;2;88;0;2;2;0;100;4.4;6471;94
2844;The Minus Man;151582;5.9;34;20;14;58;6.7;8;6;2;75;3;1065;43
2845;Whiteboyz;178988;4;15;2;13;13;0;3;0;3;0;2.6;58;27
2846;Koneko monogatari;97050;6.6;9;7;2;77;0;0;0;0;0;0;0;0
2847;Only Angels Have Wings;31762;8.4;11;11;0;100;0;1;1;0;100;3.8;1509;78
2848;Othello;114057;6.3;38;26;12;68;6.1;11;7;4;63;3.3;2018;66
2849;Queens Logic;102741;5.2;7;3;4;42;0;2;0;2;0;2.9;360;29
2850;Wayne's World;105793;6.8;45;38;7;84;6.4;7;5;2;71;3.4;45784;80
2851;Saturn 3;79285;3.8;7;1;6;14;0;1;0;1;0;0;0;0
2852;A Soldier's Story;88146;7.2;16;14;2;87;0;2;0;2;0;3.7;1759;80
2853;Communion;76150;0;3;2;1;66;0;0;0;0;0;0;0;0
2854;The Forgotten;69994;0;4;0;4;0;0;0;0;0;0;0;0;0
2855;The Power of Nightmares: The Rise of the Politics of Fear;430484;8.1;7;6;1;85;8;5;4;1;80;4.5;575;96
2856;I Saw What You Did;59297;0;1;0;1;0;0;0;0;0;0;0;0;0
2857;Yellow Submarine;63823;7.6;36;34;2;94;7.2;8;7;1;87;3.6;7369;82
2858;American Beauty;169547;8;151;134;17;88;7.8;32;29;3;90;3.8;115181;90
2859;Stop Making Sense;88178;8.8;29;28;1;96;0;3;3;0;100;4.4;1700;95
2860;Blue Streak;181316;4.8;68;24;44;35;4.4;20;6;14;30;3;13413;65
2861;For Love of the Game;126916;6.3;55;35;20;63;6;8;4;4;50;3.3;6328;74
2862;Caligola;80491;2.9;28;6;22;21;0;3;0;3;0;2.8;3230;42
2863;A Hard Day's Night;58182;8.2;72;72;0;100;7.9;22;22;0;100;3.9;9274;87
2864;American Splendor;305206;8.3;178;167;11;93;8.6;42;42;0;100;3.7;9157;85
2865;Sugar Town;173390;6.2;24;16;8;66;5.9;6;3;3;50;3;177;41
2866;The Buddy Holly Story;77280;7.3;15;15;0;100;0;0;0;0;0;0;0;0
2867;Fright Night;89175;7.3;27;25;2;92;0;3;2;1;66;3.3;7746;70
2868;Fright Night Part 2;97390;4.7;6;2;4;33;0;0;0;0;0;0;0;0
2869;La séparation;111342;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2870;Barefoot in the Park;61385;6.4;13;11;2;84;0;1;0;1;0;3.7;3074;77
2871;Deliverance;68473;8.5;50;47;3;94;5.8;5;2;3;40;3.6;10182;79
2872;Excalibur;82348;7.3;25;20;5;80;0;3;1;2;33;3.4;11195;74
2873;Lulu on the Bridge;125879;3.6;8;0;8;0;0;1;0;1;0;0;0;0
2874;The Pajama Game;50814;7.4;10;9;1;90;0;0;0;0;0;0;0;0
2875;Sommersby;108185;5.9;23;14;9;60;7;6;5;1;83;3.1;2582;55
2876;Thumbelina;111419;5.2;8;2;6;25;0;2;1;1;50;3.1;9634;64
2877;Tommy;73812;7.1;15;13;2;86;0;1;1;0;100;3.4;5178;71
2878;Hell Night;82511;4.5;6;3;3;50;0;1;0;1;0;3;927;45
2879;Fei ying gai wak;99558;6.4;32;22;10;68;6.5;13;11;2;84;3.2;3303;65
2880;Long xiong hu di;91431;6.6;8;6;2;75;0;0;0;0;0;0;0;0
2881;Double Jeopardy;150377;4.4;83;21;62;25;4.1;21;4;17;19;3.2;12512;68
2882;Jakob the Liar;120716;4.7;71;21;50;29;4.9;22;7;15;31;3.2;3128;63
2883;Mumford;140397;5.9;76;42;34;55;6.7;21;14;7;66;3.2;1155;62
2884;Dog Park;129884;4.5;24;8;16;33;4.6;5;1;4;20;2.7;600;30
2885;Guinevere;160338;6.8;33;28;5;84;7.9;8;8;0;100;3;490;45
2886;The Adventures of Elmo in Grouchland;159421;6.7;42;32;10;76;6.3;11;7;4;63;3.2;1136;60
2887;Simon Sez;168172;1.9;18;0;18;0;2.4;5;0;5;0;2.2;603;21
2888;She Drives Me Crazy;1073656;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2889;Mystery, Alaska;134618;4.9;78;29;49;37;5.1;26;11;15;42;3.2;4196;66
2890;Three Kings;120188;7.8;126;118;8;93;7.5;28;25;3;89;3.3;21498;70
2891;Happy, Texas;162360;6.7;50;41;9;82;7.4;11;11;0;100;3.1;1535;53
2892;New Rose Hotel;133122;4.2;16;3;13;18;0;2;0;2;0;2.9;682;40
2893;Plunkett & Macleane;134033;4.7;27;7;20;25;4.4;7;1;6;14;3.3;1388;66
2894;Romance;194314;5.1;31;14;17;45;5.2;8;4;4;50;3;1725;46
2895;Napoleon and Samantha;68990;0;3;2;1;66;0;0;0;0;0;0;0;0
2896;Alvarez Kelly;60095;0;3;2;1;66;0;0;0;0;0;0;0;0
2897;E la nave va;87188;6.8;9;8;1;88;0;2;1;1;50;0;0;0
2898;The Dark Half;106664;5.8;17;10;7;58;0;3;0;3;0;3;2007;43
2899;Gulliver's Travels;31397;6.6;10;7;3;70;0;0;0;0;0;0;0;0
2900;Monkey Shines;95652;5.4;26;13;13;50;5.4;5;2;3;40;2.9;1393;41
2901;Phantasm;79714;6.2;35;22;13;62;0;3;3;0;100;3.4;4777;68
2902;American Psycho II: All American Girl;283877;3.1;9;1;8;11;0;0;0;0;0;0;0;0
2903;Psycho III;91799;5.2;17;10;7;58;0;4;2;2;50;2.6;2593;31
2904;Singin' in the Rain;45152;9.2;44;44;0;100;8.8;9;9;0;100;3.9;28033;91
2905;Tsubaki Sanjûrô;56443;8.3;15;15;0;100;0;1;1;0;100;4.2;4523;94
2906;Random Hearts;156934;4;87;13;74;14;4.1;26;4;22;15;2.7;2118;28
2907;Superstar;167427;4.5;72;24;48;33;4.1;21;6;15;28;2.9;11034;63
2908;Boys Don't Cry;171804;7.9;73;64;9;87;7.9;22;19;3;86;3.7;16491;85
2910;L'ennui;168740;5.5;13;7;6;53;0;2;1;1;50;3;60;50
2911;El abuelo;176415;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2912;The Limey;165854;7.4;79;72;7;91;7.7;24;23;1;95;3.6;4089;76
2913;The Mating Habits of the Earthbound Human;165874;4.3;12;4;8;33;0;1;0;1;0;3.5;709;72
2914;The Haunting of Molly Hartley;1045655;2.9;34;1;33;2;3.8;8;1;7;12;2.6;18564;23
2915;Risky Business;86200;7.4;43;42;1;97;7.7;6;6;0;100;3.2;11638;61
2916;Total Recall;100802;7.2;42;34;8;80;6.8;8;6;2;75;3.3;25031;70
2917;Body Heat;82089;8;36;35;1;97;8.4;5;5;0;100;3.5;2581;74
2918;Ferris Bueller's Day Off;91042;7.4;46;37;9;80;0;4;1;3;25;3.8;77618;89
2919;The Year of Living Dangerously;86617;7.4;25;22;3;88;0;1;0;1;0;3.5;2161;73
2920;Les enfants du paradis;37674;9;21;20;1;95;8.6;5;5;0;100;4.4;2292;94
2921;High Plains Drifter;68699;7.7;23;22;1;95;0;3;2;1;66;3.7;6781;83
2922;Hang 'Em High;61747;6.5;14;13;1;92;0;1;1;0;100;3.5;5541;71
2923;Handle with Care;76123;0;4;4;0;100;0;0;0;0;0;0;0;0
2924;Jui kuen II;111512;7;74;61;13;82;7.1;24;20;4;83;3.6;7905;83
2925;Il conformista;65571;8.8;40;40;0;100;8.4;9;9;0;100;4.3;2418;92
2926;Hairspray;427327;7.7;205;186;19;90;8;41;40;1;97;3.9;382832;84
2927;Brief Encounter;37558;8.1;29;25;4;86;0;3;2;1;66;4.2;3485;91
2928;The Razor's Edge;87980;5.4;15;8;7;53;0;1;0;1;0;3.7;879;77
2929;Trois couleurs: Rouge;111495;8.5;40;40;0;100;8.2;10;10;0;100;4.2;9557;94
2930;Return with Honor;176093;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
2931;Dom za vesanje;97223;7.1;5;5;0;100;0;2;2;0;100;4.5;2705;96
2932;Days of Heaven;77405;7.9;36;33;3;91;7.3;7;5;2;71;4.2;4575;89
2933;Le feu follet;57058;7.7;10;9;1;90;0;3;3;0;100;4.3;616;90
2934;El amor brujo;90636;0;2;2;0;100;0;0;0;0;0;0;0;0
2935;The Lady Eve;33804;8.6;28;28;0;100;0;4;4;0;100;4.1;2031;89
2936;Sullivan's Travels;34240;8.7;29;29;0;100;0;2;2;0;100;4.2;2289;90
2937;The Palm Beach Story;35169;8.6;21;21;0;100;0;3;3;0;100;3.9;975;83
2938;Hombre mirando al sudeste;91214;0;4;4;0;100;0;0;0;0;0;0;0;0
2939;Niagara;46126;6.2;10;8;2;80;0;0;0;0;0;0;0;0
2940;Gilda;38559;7.7;15;14;1;93;0;0;0;0;0;0;0;0
2941;South Pacific;52225;6.7;8;7;1;87;0;0;0;0;0;0;0;0
2942;Flashdance;85549;4.7;34;10;24;29;4.6;5;1;4;20;3.2;16331;63
2943;Indochine;104507;6.3;17;12;5;70;0;2;1;1;50;3.9;1905;84
2944;The Dirty Dozen;61578;7.9;21;20;1;95;0;2;2;0;100;3.8;7219;86
2945;Mike's Murder;87722;0;4;2;2;50;0;0;0;0;0;0;0;0
2946;Help!;59260;7.3;22;20;2;90;0;2;1;1;50;3.8;5947;85
2947;Goldfinger;58150;8.4;48;46;2;95;7.9;6;5;1;83;3.6;22155;83
2948;From Russia with Love;57076;7.9;45;43;2;95;7.8;5;5;0;100;3.6;17619;79
2949;Dr. No;55928;7.6;42;41;1;97;0;4;4;0;100;3.5;19811;78
2950;The Blue Lagoon;80453;2.7;17;2;15;11;0;4;1;3;25;2.8;7063;55
2951;Per un pugno di dollari;58461;8.1;35;34;1;97;0;3;3;0;100;3.8;21677;87
2952;Sydney;119256;6.9;32;26;6;81;7.1;11;9;2;81;3.7;3180;81
2953;Home Alone 2: Lost in New York;104431;3.6;24;5;19;20;0;2;1;1;50;3;41991;62
2954;Penitentiary;79709;0;1;0;1;0;0;0;0;0;0;0;0;0
2955;Penitentiary II;84485;0;1;0;1;0;0;0;0;0;0;0;0;0
2956;Someone to Watch Over Me;94008;6.2;17;14;3;82;0;1;0;1;0;3;863;38
2958;Naturally Native;133117;0;0;0;0;0;0;0;0;0;0;0;0;0
2959;Fight Club;137523;7.3;149;120;29;80;5.9;27;17;10;62;4.2;268913;95
2960;Beefcake;187712;5.4;7;4;3;57;0;2;1;1;50;3.4;279;63
2961;The Story of Us;160916;4.5;81;23;58;28;4.1;25;4;21;16;3;5089;57
2962;Fever Pitch;332047;6.2;172;110;62;63;6;38;19;19;50;3;14004;62
2963;Joe the King;160672;6;24;15;9;62;5.8;5;1;4;20;3.5;396;67
2964;Julien Donkey-Boy;192194;4.6;33;8;25;24;5.4;6;3;3;50;3.6;1576;73
2965;The Omega Code;203408;3;24;2;22;8;4.2;6;2;4;33;2.6;796;40
2966;The Straight Story;166896;8.1;86;82;4;95;8;26;25;1;96;4;7407;89
2967;The Bad Seed;48977;7.6;15;13;2;86;0;0;0;0;0;0;0;0
2968;Time Bandits;81633;8;36;34;2;94;6.9;5;4;1;80;3.5;9753;74
2969;Un homme et une femme;61138;6.3;12;9;3;75;0;3;1;2;33;4;1548;86
2970;Fitzcarraldo;83946;7.6;22;18;4;81;0;3;2;1;66;4.3;4213;93
2971;All That Jazz;78754;7.4;30;26;4;86;0;4;2;2;50;3.9;3397;84
2972;Hong gao liang;93206;7.6;7;7;0;100;0;1;1;0;100;0;0;0
2973;Crimes and Misdemeanors;97123;7.9;38;35;3;92;7.3;5;4;1;80;4;6179;90
2974;The Vampire Bat;24727;0;4;2;2;50;0;0;0;0;0;0;0;0
2975;The Best Man;430919;0;1;1;0;100;0;0;0;0;0;0;0;0
2976;Bringing Out the Dead;163988;6.7;105;75;30;71;6.6;25;18;7;72;3.2;7444;65
2977;Crazy in Alabama;142201;4.5;55;17;38;30;4.7;20;6;14;30;3.1;1384;55
2978;Three to Tango;144640;4.3;64;18;46;28;4.5;18;7;11;38;2.7;3780;46
2979;Body Shots;172627;4;28;3;25;10;5.5;6;2;4;33;2.5;624;27
2981;Brother Can You Spare a Dime;72742;0;0;0;0;0;0;0;0;0;0;0;0;0
2982;The Guardian;406816;5.2;143;54;89;37;5.2;34;11;23;32;3.7;58919;83
2983;The Ipcress File;59319;7.7;23;23;0;100;0;3;3;0;100;3.8;1386;83
2984;On Any Sunday;67527;0;3;2;1;66;0;1;1;0;100;4.4;129;91
2985;RoboCop;93870;7.7;42;37;5;88;7.3;7;6;1;85;3.1;18381;71
2986;RoboCop 2;100502;4.5;31;11;20;35;4;5;1;4;20;2.7;9580;38
2987;Who Framed Roger Rabbit;96438;8.3;42;41;1;97;7.7;8;7;1;87;3.5;33318;75
2988;Melvin and Howard;81150;8.2;16;16;0;100;0;1;1;0;100;3.4;453;61
2989;For Your Eyes Only;82398;6.2;35;25;10;71;6;5;3;2;60;3.3;10042;64
2990;Licence to Kill;97742;5.8;35;25;10;71;5.5;8;4;4;50;3.1;12088;56
2991;Live and Let Die;70328;5.9;36;23;13;63;4.1;6;1;5;16;3.3;13025;66
2992;Rawhead Rex;91829;4.4;5;2;3;40;0;0;0;0;0;0;0;0
2993;Thunderball;59800;7;33;30;3;90;6.2;5;4;1;80;3.4;12807;70
2994;City Lights;21749;9;37;37;0;100;8.8;8;8;0;100;4.3;7937;94
2995;House on Haunted Hill;185371;4.4;53;13;40;24;3.5;11;2;9;18;2.9;13288;49
2996;Music of the Heart;166943;6.6;75;51;24;68;6.1;19;12;7;63;3.5;3231;68
2997;Being John Malkovich;120601;8;116;107;9;92;7.7;26;24;2;92;3.6;52443;85
2998;Dreaming of Joseph Lees;144178;4.8;13;4;9;30;0;4;3;1;75;3.5;62;58
2999;Man of the Century;138537;6.6;16;12;4;75;5.7;5;2;3;40;3.7;246;74
3000;Mononoke-hime;119698;7.7;83;77;6;92;7.7;24;23;1;95;4.1;44616;94
3001;The Suburbans;157075;3;10;0;10;0;0;2;0;2;0;2.5;700;23
3002;Mein liebster Feind - Klaus Kinski;200849;7;24;19;5;79;6.8;5;4;1;80;4;1638;90
3003;Train de vie;170705;6.4;18;12;6;66;0;4;2;2;50;4.3;854;93
3004;The Bachelor;120596;3.5;66;6;60;9;3.4;20;1;19;5;2.5;3470;34
3005;The Bone Collector;145681;4.7;84;23;61;27;4.7;23;7;16;30;3.3;26317;68
3006;Inside Man;454848;7.3;195;168;27;86;7.5;40;35;5;87;3.7;84980;81
3007;American Movie;181288;8.3;46;43;3;93;8.9;7;7;0;100;4;3544;87
3008;Last Night;156729;7.2;49;41;8;83;7.1;9;7;2;77;3.8;1691;84
3010;Rosetta;200071;7.2;22;19;3;86;8.7;5;5;0;100;3.9;880;82
3011;They Shoot Horses, Don't They?;65088;7.3;23;19;4;82;0;3;3;0;100;3.9;1522;87
3012;Battling Butler;16630;6;5;4;1;80;0;1;0;1;0;3.7;249;75
3013;Bride of Re-Animator;99180;5.2;15;7;8;46;0;3;1;2;33;3.1;1904;51
3014;Bustin' Loose;82121;0;4;3;1;75;0;0;0;0;0;0;0;0
3015;Coma;77355;6.6;21;16;5;76;0;3;1;2;33;3.2;1526;55
3016;Creepshow;83767;6;27;18;9;66;0;4;2;2;50;3.3;6768;67
3017;Creepshow 2;92796;3.7;19;5;14;26;0;4;2;2;50;3;3260;49
3018;Re-Animator;89885;7.7;38;35;3;92;0;4;3;1;75;3.6;7434;78
3019;Drugstore Cowboy;97240;8;27;27;0;100;9;6;6;0;100;3.7;4507;82
3020;Falling Down;106856;6.6;44;33;11;75;6.4;8;5;3;62;3.5;19292;79
3021;The Funhouse;82427;5.6;12;7;5;58;0;0;0;0;0;0;0;0
3022;The General;17925;8.9;38;35;3;92;0;4;2;2;50;4.4;3785;93
3024;Piranha;78087;6.4;22;15;7;68;0;0;0;0;0;0;0;0
3025;Rough Night in Jericho;62218;0;3;1;2;33;0;1;0;1;0;3.1;322;34
3026;Slaughterhouse-Five;69280;7.4;13;10;3;76;0;0;0;0;0;0;0;0
3027;Slaughterhouse-Five;69280;7.4;13;10;3;76;0;0;0;0;0;0;0;0
3028;The Taming of the Shrew;61407;0;0;0;0;0;0;0;0;0;0;0;0;0
3029;Nighthawks;82817;6.2;14;10;4;71;0;2;2;0;100;3.1;1535;52
3030;Yôjinbô;55630;8.8;34;33;1;97;8;5;4;1;80;4.4;10522;96
3031;Repo! The Genetic Opera;963194;4.5;54;18;36;33;3.6;14;2;12;14;3.7;8433;74
3032;The Omega Man;67525;5.6;32;19;13;59;0;4;2;2;50;3.3;5147;56
3033;Spaceballs;94012;6.3;23;15;8;65;0;1;0;1;0;3.5;54973;80
3034;Robin Hood: Prince of Thieves;102798;5.2;27;15;12;55;0;2;1;1;50;3.4;30722;72
3035;Mister Roberts;48380;7.5;17;17;0;100;0;0;0;0;0;0;0;0
